BindingSite1,BS1_rmsd,BindingSite2,BS2_rmsd,MC1,MC1_rmsd,NM1,NM1_rmsd,MC2,MC2_rmsd,NM2,NM2_rmsd,MC3,MC3_rmsd,NM3,NM3_rmsd,Md1,Md1_rmsd,Md2,Md2_rmsd,Md3,Md3_rmsd,Nd1,Nd1_rmsd,Nd2,Nd2_rmsd,Nd3,Nd3_rmsd,y
-75,1671.3372161236653,-5442,343.4582361801722,-6439,856.8667009575508,-7061,455.774461768098,-5245,340.68134345422027,-5648,867.1769657918716,-6070,354.42883629862956,-5474,688.7952090425689,-7382,620.1748543757651,-5302,769.7371564371798,-6341,777.416439874831,-7250,767.7297766792723,-4770,301.7249051161358,-6003,918.3899825237623,0
-358,2564.745492246745,-6473,730.6689058663991,-5537,392.0352025010018,-7843,704.9080318263713,-5279,685.2683343041651,-4427,372.13793141791433,-6757,518.3390878565921,-5457,620.1607318537124,-7454,239.4627216535776,-4242,488.1557538327282,-6311,377.89613652430296,-6838,631.2398018978207,-6410,599.3084681530909,-6750,882.1741834807882,0
-6772,1269.8999182884982,-5244,515.3076750835332,-6914,766.0803874268003,-6086,705.725272326276,-5996,515.5639242615799,-5942,908.744606586472,-5908,407.9170986548615,-6122,746.1320175775336,-6528,837.4113027658498,-4791,590.3465507648882,-6496,628.5351773256657,-6500,876.7152331287517,-6037,427.00487116659906,-6727,640.1717660128388,0
-3657,886.5627106978956,-4348,647.1436007564317,-5698,523.9408745268834,-4152,835.3699261885397,-3354,1054.246882850502,-4158,530.5380759191562,-5148,501.6716157009485,-4534,848.1017863440688,-5117,889.8742888745578,-2819,479.9279216715773,-4398,907.4801871115419,-3757,668.7064535262501,-4792,646.28442654918,-4216,792.3398697123616,0
-5437,637.8708411583029,-6836,1094.2343624653706,-6816,673.8089120811649,-7693,1483.615367944132,-6487,726.1086420088924,-6064,774.9711994648595,-6413,957.5752686142928,-7736,1649.6052982456126,-7066,1197.1267936187874,-4609,731.2626409163815,-6934,723.766923809036,-5809,486.6358083824046,-6515,630.2490063459035,-6156,736.4038914604038,0
-3892,659.4742200522924,-5001,961.4283124601639,-4571,668.4727743147058,-5333,767.186892741955,-4948,258.01784798060925,-5189,583.1353273469224,-6050,484.752194425153,-5546,487.34234373795425,-4335,326.94967502660074,-3534,502.05949286414256,-5747,818.7940888892628,-4010,436.75320262134244,-4029,624.1689594973468,-5385,691.666979116396,0
-2992,772.7364686618591,-3102,289.82173831512307,-4152,683.1047943031875,-6074,1130.3720349955584,-3338,587.1853767479806,-4628,1060.4466087455803,-5747,1133.237066989957,-4077,480.1565265619129,-3222,573.8442645875266,-4619,939.9989493033268,-3646,727.0133767682684,-4167,674.2820552261487,-2698,643.9063285913553,-3520,1094.360658101341,0
-6307,961.3683789266215,-6361,368.7987120367893,-6616,650.6751099937916,-7547,996.6966690021593,-6012,575.0396595018432,-5650,471.5480993493619,-6892,424.481342346167,-7658,1311.6652621762923,-6078,756.7101228343657,-4879,437.9131877438734,-6278,504.1916798202842,-7267,1121.1011774144213,-6118,836.6019125008032,-6460,666.6164114391378,0
-3015,1505.690874648578,-1919,1402.5761476654307,-3100,1259.4936323777108,-4168,1172.9579020578701,-1966,477.89103360494227,-2544,660.1191483361164,-3006,414.21182986486565,-3070,561.642092439661,-4472,772.8354029157817,-2860,1072.0254741767803,-3749,608.6531113861149,-3976,644.9585880092723,-2129,608.8474439463469,-2926,737.1361407501333,0
-1459,1425.7939682857407,-5250,585.5688601693201,-5972,379.9760518769581,-5910,1442.9782707996676,-4859,930.9595318809505,-4382,1042.1321845140367,-6239,1501.7346137050986,-6420,1252.9906544930484,-7129,515.400271633616,-5125,832.6948813533664,-6410,1670.6392219746315,-6042,1666.513033252367,-6164,1064.633533193464,-6111,1599.4285385724486,0
